zip,num_vehicles,num_chargers,_merge,vehicles_per_charger,valid_zip
92067,0.0,5,right_only,0.0,1
92069,0.0,11,right_only,0.0,1
92070,0.0,3,right_only,0.0,1
92071,0.0,26,right_only,0.0,1
92075,0.0,36,right_only,0.0,1
92078,0.0,21,right_only,0.0,1
92081,0.0,19,right_only,0.0,1
92082,0.0,9,right_only,0.0,1
92083,0.0,4,right_only,0.0,1
92084,0.0,6,right_only,0.0,1
92086,0.0,4,right_only,0.0,1
92093,0.0,16,right_only,0.0,1
92101,0.0,260,right_only,0.0,1
92102,0.0,3,right_only,0.0,1
92103,0.0,33,right_only,0.0,1
92104,0.0,3,right_only,0.0,1
92105,0.0,1,right_only,0.0,1
92106,0.0,6,right_only,0.0,1
92108,0.0,62,right_only,0.0,1
92109,0.0,7,right_only,0.0,1
92110,0.0,29,right_only,0.0,1
92111,0.0,30,right_only,0.0,1
92113,0.0,6,right_only,0.0,1
92114,0.0,2,right_only,0.0,1
92115,0.0,13,right_only,0.0,1
92116,0.0,1,right_only,0.0,1
92117,0.0,3,right_only,0.0,1
92118,0.0,17,right_only,0.0,1
92119,0.0,3,right_only,0.0,1
92120,0.0,7,right_only,0.0,1
92121,0.0,104,right_only,0.0,1
92122,0.0,25,right_only,0.0,1
92123,0.0,62,right_only,0.0,1
92126,0.0,17,right_only,0.0,1
92127,0.0,58,right_only,0.0,1
92128,0.0,8,right_only,0.0,1
92129,0.0,8,right_only,0.0,1
92130,0.0,38,right_only,0.0,1
92131,0.0,10,right_only,0.0,1
92132,0.0,6,right_only,0.0,1
92139,0.0,1,right_only,0.0,1
92140,0.0,1,right_only,0.0,1
92154,0.0,8,right_only,0.0,1
92161,0.0,1,right_only,0.0,1
92173,0.0,5,right_only,0.0,1
92182,0.0,17,right_only,0.0,1
92201,0.0,19,right_only,0.0,1
92203,0.0,2,right_only,0.0,1
92210,0.0,23,right_only,0.0,1
92211,0.0,21,right_only,0.0,1
92220,0.0,4,right_only,0.0,1
92223,0.0,9,right_only,0.0,1
92225,0.0,12,right_only,0.0,1
92227,0.0,3,right_only,0.0,1
92230,0.0,6,right_only,0.0,1
92231,0.0,3,right_only,0.0,1
92233,0.0,2,right_only,0.0,1
