zip,num_ev_vehicles,num_ev_stations,ev_vehicles_per_station
94592,0.0,3,0.0
94595,0.0,2,0.0
94596,0.0,29,0.0
94597,0.0,21,0.0
94598,0.0,24,0.0
94599,0.0,9,0.0
94602,0.0,2,0.0
94603,0.0,2,0.0
94605,0.0,3,0.0
94606,0.0,2,0.0
94607,0.0,45,0.0
94608,0.0,23,0.0
94609,0.0,17,0.0
94611,0.0,5,0.0
94612,0.0,58,0.0
94619,0.0,1,0.0
94621,0.0,16,0.0
94702,0.0,2,0.0
94704,0.0,42,0.0
94705,0.0,8,0.0
94706,0.0,1,0.0
94707,0.0,1,0.0
94709,0.0,1,0.0
94710,0.0,15,0.0
94720,0.0,1,0.0
94801,0.0,1,0.0
94804,0.0,18,0.0
94805,0.0,2,0.0
94806,0.0,23,0.0
94901,0.0,24,0.0
94903,0.0,41,0.0
94904,0.0,12,0.0
94920,0.0,13,0.0
94925,0.0,8,0.0
94928,0.0,48,0.0
94929,0.0,1,0.0
94930,0.0,3,0.0
94931,0.0,5,0.0
94937,0.0,1,0.0
94939,0.0,13,0.0
94941,0.0,11,0.0
94945,0.0,20,0.0
94947,0.0,11,0.0
94949,0.0,19,0.0
94950,0.0,2,0.0
94952,0.0,24,0.0
94954,0.0,18,0.0
94956,0.0,3,0.0
94957,0.0,2,0.0
94960,0.0,16,0.0
94965,0.0,4,0.0
94970,0.0,3,0.0
95002,0.0,6,0.0
95003,0.0,4,0.0
95008,0.0,53,0.0
95010,0.0,7,0.0
95014,0.0,114,0.0
95018,0.0,3,0.0
95020,0.0,31,0.0
95023,0.0,16,0.0
95030,0.0,17,0.0
95032,0.0,6,0.0
95033,0.0,1,0.0
95035,0.0,79,0.0
95037,0.0,18,0.0
95043,0.0,2,0.0
95046,0.0,4,0.0
95050,0.0,40,0.0
95051,0.0,18,0.0
95053,0.0,5,0.0
95054,0.0,294,0.0
95060,0.0,29,0.0
95062,0.0,5,0.0
95064,0.0,14,0.0
95065,0.0,3,0.0
95066,0.0,7,0.0
95070,0.0,15,0.0
95073,0.0,1,0.0
95076,0.0,28,0.0
95110,0.0,81,0.0
95111,0.0,2,0.0
95112,0.0,97,0.0
95113,0.0,64,0.0
95116,0.0,2,0.0
95117,0.0,52,0.0
95118,0.0,14,0.0
95119,0.0,4,0.0
95120,0.0,2,0.0
95121,0.0,6,0.0
95122,0.0,5,0.0
95123,0.0,11,0.0
95124,0.0,5,0.0
95125,0.0,4,0.0
95126,0.0,41,0.0
95127,0.0,2,0.0
95128,0.0,62,0.0
95129,0.0,13,0.0
95131,0.0,26,0.0
95132,0.0,2,0.0
95133,0.0,38,0.0
95134,0.0,99,0.0
95135,0.0,9,0.0
95136,0.0,6,0.0
95138,0.0,10,0.0
95139,0.0,1,0.0
95148,0.0,2,0.0
95202,0.0,5,0.0
95203,0.0,1,0.0
95204,0.0,5,0.0
95205,0.0,1,0.0
95206,0.0,4,0.0
95207,0.0,10,0.0
95209,0.0,2,0.0
95210,0.0,5,0.0
95211,0.0,5,0.0
95212,0.0,5,0.0
95215,0.0,1,0.0
95219,0.0,7,0.0
95220,0.0,3,0.0
95222,0.0,1,0.0
95223,0.0,3,0.0
95228,0.0,1,0.0
95231,0.0,1,0.0
95237,0.0,1,0.0
95240,0.0,15,0.0
95242,0.0,12,0.0
95247,0.0,3,0.0
95261,0.0,1,0.0
95301,0.0,6,0.0
95304,0.0,8,0.0
95305,0.0,1,0.0
95307,0.0,6,0.0
95315,0.0,1,0.0
95318,0.0,2,0.0
95319,0.0,1,0.0
95320,0.0,2,0.0
95321,0.0,11,0.0
95322,0.0,5,0.0
95326,0.0,2,0.0
95327,0.0,4,0.0
95330,0.0,11,0.0
95334,0.0,1,0.0
95336,0.0,10,0.0
95337,0.0,27,0.0
95338,0.0,3,0.0
95340,0.0,4,0.0
95343,0.0,3,0.0
95345,0.0,1,0.0
95346,0.0,1,0.0
95348,0.0,4,0.0
95350,0.0,3,0.0
95351,0.0,3,0.0
95354,0.0,13,0.0
95355,0.0,1,0.0
95356,0.0,14,0.0
95358,0.0,4,0.0
95361,0.0,7,0.0
95363,0.0,7,0.0
95366,0.0,3,0.0
95370,0.0,7,0.0
95376,0.0,16,0.0
95377,0.0,14,0.0
95379,0.0,1,0.0
95380,0.0,21,0.0
95382,0.0,4,0.0
95383,0.0,1,0.0
95386,0.0,1,0.0
95387,0.0,2,0.0
95389,0.0,9,0.0
95391,0.0,1,0.0
95401,0.0,20,0.0
95402,0.0,1,0.0
95403,0.0,42,0.0
95404,0.0,10,0.0
95405,0.0,4,0.0
95407,0.0,34,0.0
95409,0.0,1,0.0
95412,0.0,1,0.0
95415,0.0,1,0.0
95422,0.0,1,0.0
95423,0.0,1,0.0
95425,0.0,5,0.0
95432,0.0,2,0.0
95436,0.0,6,0.0
95437,0.0,9,0.0
95438,0.0,1,0.0
95439,0.0,2,0.0
95441,0.0,5,0.0
95442,0.0,5,0.0
95446,0.0,3,0.0
95448,0.0,53,0.0
