zip,num_ev_vehicles,num_ev_stations,ev_vehicles_per_station
92021,1111.0,27.0,41.148148148148145
92022,8.0,0.0,
92023,21.0,0.0,
92024,3669.0,23.0,159.52173913043478
92025,1231.0,20.0,61.55
92026,1759.0,11.0,159.9090909090909
92027,1269.0,3.0,423.0
92028,1885.0,18.0,104.72222222222223
92029,1372.0,25.0,54.88
92030,10.0,0.0,
92033,6.0,0.0,
92036,75.0,5.0,15.0
92037,3313.0,97.0,34.154639175257735
92038,30.0,0.0,
92039,5.0,0.0,
92040,796.0,16.0,49.75
92046,11.0,0.0,
92049,4.0,0.0,
92051,5.0,0.0,
92052,9.0,0.0,
92054,938.0,37.0,25.35135135135135
92055,5.0,0.0,
92056,1845.0,13.0,141.92307692307693
92057,1839.0,4.0,459.75
92058,727.0,2.0,363.5
92059,33.0,1.0,33.0
92060,8.0,0.0,
92061,63.0,0.0,
92064,3355.0,5.0,671.0
92065,907.0,7.0,129.57142857142858
92066,3.0,0.0,
92067,1511.0,5.0,302.2
92068,3.0,0.0,
92069,1792.0,11.0,162.9090909090909
92070,14.0,3.0,4.666666666666667
92071,1645.0,26.0,63.26923076923077
92072,4.0,0.0,
92074,10.0,0.0,
92075,995.0,36.0,27.63888888888889
92078,3125.0,21.0,148.8095238095238
92079,6.0,0.0,
92081,1110.0,19.0,58.421052631578945
92082,801.0,9.0,89.0
92083,655.0,4.0,163.75
92084,1228.0,6.0,204.66666666666666
92085,5.0,0.0,
92086,20.0,4.0,5.0
92088,6.0,0.0,
92091,233.0,0.0,
92092,51.0,0.0,
92093,57.0,16.0,3.5625
92101,3221.0,260.0,12.388461538461538
92102,635.0,3.0,211.66666666666666
92103,1806.0,33.0,54.72727272727273
92104,1987.0,3.0,662.3333333333334
92105,1036.0,1.0,1036.0
92106,981.0,6.0,163.5
92107,899.0,0.0,
92108,1396.0,61.0,22.885245901639344
92109,1603.0,7.0,229.0
92110,935.0,29.0,32.241379310344826
92111,1537.0,30.0,51.233333333333334
92112,8.0,0.0,
92113,376.0,6.0,62.666666666666664
92114,1155.0,2.0,577.5
92115,1286.0,13.0,98.92307692307692
92116,1179.0,1.0,1179.0
92117,1962.0,3.0,654.0
92118,874.0,17.0,51.411764705882355
92119,838.0,3.0,279.3333333333333
92120,1495.0,7.0,213.57142857142858
92121,562.0,104.0,5.403846153846154
92122,2219.0,25.0,88.76
92123,1423.0,62.0,22.951612903225808
92124,1177.0,0.0,
92126,3674.0,17.0,216.11764705882354
92127,5555.0,58.0,95.77586206896552
92128,3152.0,8.0,394.0
92129,4019.0,8.0,502.375
92130,7434.0,38.0,195.6315789473684
92131,3360.0,10.0,336.0
92132,0.0,6.0,0.0
92134,2.0,0.0,
92136,14.0,0.0,
92137,2.0,0.0,
92138,12.0,0.0,
92139,617.0,1.0,617.0
92140,1.0,1.0,1.0
